"Ensembl.ID","Gene.name","Category","Function","Multiple.functions","Inheritance","List","MitoCarta2.0","OMIM..07.2020.","OMIM_entrez_ID","OMIM_phenotype","OMIM_MIM.number","OMIM_inheritance","S..Stenton.2020","S..Rahman.2020","A..Frazier.2019","M..Falk.2020"
"ENSG00000124608","AARS2","Mitochondrial DNA replication and expression","Mitochondrial tRNA synthetases","no","AR",272,"yes","yes","57505","Combined oxidative phosphorylation deficiency 8, 614096 Y-Autosomal recessive; Leukoencephalopathy, progressive, with ovarian failure, 615889 Y-Autosomal recessive","612035","AR","yes","yes","yes","yes"
"ENSG00000183044","ABAT","Others / Unknown function","Others / Unknown function","no","AR",272,"yes","yes","18","GABA-transaminase deficiency, 613163 Y-Autosomal recessive","137150","AR","yes","yes","yes","yes"
"ENSG00000115657","ABCB6","Metabolism of cofactors","Haem biosynthesis","no","AD",413,"yes","yes","10058","Dyschromatosis universalis hereditaria 3, 615402 Y-Autosomal dominant; Microphthalmia, isolated, with coloboma 7, 614497 Y-Autosomal dominant; [Blood group, Langereis system], 111600 (3); Pseudohyperkalemia, familial, 2, due to red cell leak, 609153 Y-Autosomal dominant","605452","AD","no","yes","no","no"
"ENSG00000131269","ABCB7","Metabolism of cofactors","Iron–sulphur cluster protein biosynthesis ","no","XLR",413,"yes","yes","22","Anemia, sideroblastic, with ataxia, 301310 Y-X-linked recessive","300135","XLR","no","yes","yes","yes"
"ENSG00000177646","ACAD9","OXPHOS subunits, assembly factors, and electron carriers","CI assembly factors","no","AR",272,"yes","yes","28976","Mitochondrial complex I deficiency, nuclear type 20, 611126 Y-Autosomal recessive","611103","AR","yes","yes","yes","yes"
"ENSG00000117054","ACADM","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","34","Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 Y-Autosomal recessive","607008","AR","yes","no","no","no"
"ENSG00000122971","ACADS","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","35","Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 Y-Autosomal recessive","606885","AR","yes","no","no","no"
"ENSG00000196177","ACADSB","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","36","2-methylbutyrylglycinuria, 610006 Y-Autosomal recessive","600301","AR","yes","no","no","no"
"ENSG00000072778","ACADVL","Metabolism of substrates","Fatty acid oxidation","no","AR",413,"yes","yes","37","VLCAD deficiency, 201475 Y-Autosomal recessive","609575","AR","yes","no","no","no"
"ENSG00000075239","ACAT1","Metabolism of substrates","Ketone bodies","no","AR",413,"yes","yes","38","Alpha-methylacetoacetic aciduria, 203750 Y-Autosomal recessive","607809","AR","yes","no","no","no"
